id t x y z intensity
1 1 19.61 21.82 0.98 13
1 2 19.16 22.37 0.73 24
1 3 17.54 23.05 0.48 64
1 4 18.43 23.56 0.32 36
1 5 17.74 23.82 0.26 47
1 6 17.86 23.83 0.25 56
1 7 17.66 24.20 0.17 61
1 8 17.38 24.23 0.17 69
1 9 17.28 24.27 0.16 60
1 10 17.15 24.97 0.06 59
1 11 17.39 24.78 0.08 62
1 12 17.16 24.50 0.12 56
1 13 16.80 25.23 0.03 53
1 14 16.52 25.33 0.02 53
1 15 16.09 25.82 0.00 56
1 16 15.56 25.87 0.00 64
1 17 15.49 26.58 0.02 61
1 18 15.15 25.59 0.01 26
1 19 15.32 26.64 0.02 59
1 20 15.90 26.91 0.04 52
1 21 16.76 27.71 0.16 46
1 22 17.38 27.16 0.07 48
1 23 17.81 26.23 0.00 48
1 24 18.13 25.43 0.02 46
1 25 18.42 24.85 0.07 28
1 26 18.43 25.13 0.04 37
1 27 18.34 25.44 0.02 43
1 28 18.40 28.12 0.24 10
1 29 17.99 27.80 0.17 4
2 1 43.24 25.99 0.00 5
2 2 42.98 26.42 0.01 23
2 3 42.89 25.00 0.05 11
2 4 43.15 23.99 0.22 6
2 5 42.53 22.64 0.62 17
2 6 43.03 22.21 0.80 9
2 7 43.45 22.38 0.72 45
2 8 42.17 22.38 0.72 31
2 9 41.73 24.14 0.19 25
2 10 42.07 23.43 0.36 39
2 11 41.92 22.87 0.54 20
2 12 42.25 22.80 0.56 13
2 13 42.13 24.26 0.16 6
2 14 43.31 25.56 0.01 5
2 15 43.55 26.15 0.00 8
2 16 42.86 27.30 0.09 10
2 17 41.35 28.30 0.29 8
4 1 34.56 23.84 0.25 85
4 2 34.55 23.70 0.29 67
4 3 34.55 23.41 0.36 67
4 4 35.29 22.89 0.53 46
4 5 36.90 21.27 1.28 4
6 1 12.79 23.04 0.48 14
6 2 12.82 24.16 0.18 5
8 1 48.67 23.31 0.39 21
9 1 47.14 24.23 0.17 5
9 2 48.68 25.72 0.00 14
9 3 48.62 23.63 0.30 10
9 4 48.78 23.34 0.38 4
10 1 35.08 27.28 0.09 26
10 2 36.27 28.57 0.36 19
10 3 35.19 28.75 0.41 8
10 4 35.03 29.97 0.88 19
10 5 35.36 29.70 0.76 21
10 6 34.65 30.97 1.42 12
10 7 36.33 29.01 0.50 16
10 8 36.81 28.50 0.34 23
10 9 37.61 27.89 0.19 11
10 10 37.12 27.76 0.17 23
10 11 37.48 26.99 0.05 16
10 12 37.05 26.18 0.00 21
10 13 37.05 25.77 0.00 23
10 14 37.54 26.20 0.00 55
10 15 38.49 25.70 0.00 68
10 16 37.77 25.66 0.01 78
10 17 36.51 25.49 0.01 42
10 18 35.94 25.79 0.00 13
10 19 36.02 25.96 0.00 23
10 20 35.82 26.14 0.00 30
10 21 35.71 26.00 0.00 24
10 22 36.01 26.17 0.00 24
10 23 35.98 26.32 0.01 23
10 24 35.94 26.82 0.04 24
10 25 35.68 27.01 0.05 25
10 26 35.19 27.44 0.11 22
10 27 35.15 27.33 0.10 29
10 28 35.37 27.48 0.12 28
10 29 35.77 27.15 0.07 33
10 30 35.97 26.69 0.03 51
10 31 36.31 26.22 0.00 64
10 32 36.06 26.17 0.00 56
10 33 35.75 25.50 0.01 40
10 34 35.93 25.11 0.04 35
10 35 35.80 24.73 0.09 27
10 36 35.72 24.76 0.08 34
10 37 35.46 25.50 0.01 34
10 38 35.59 25.58 0.01 37
10 39 35.91 25.71 0.00 34
10 40 35.54 26.02 0.00 36
10 41 35.65 26.33 0.01 43
10 42 36.17 26.14 0.00 40
10 43 36.63 25.83 0.00 35
10 44 37.81 25.13 0.04 21
11 1 5.09 21.06 1.41 10
11 2 4.97 21.21 1.31 21
11 3 5.05 21.42 1.19 22
11 4 5.69 21.52 1.13 25
11 5 5.98 23.02 0.48 29
11 6 5.90 23.37 0.38 29
11 7 5.68 24.23 0.17 39
11 8 5.20 23.80 0.26 41
11 9 4.62 23.38 0.37 40
11 10 3.83 23.32 0.39 35
11 11 3.72 23.83 0.25 34
11 12 3.33 24.62 0.10 38
11 13 2.98 25.92 0.00 35
11 14 3.00 27.20 0.08 31
11 15 2.79 28.32 0.29 29
11 16 2.34 29.13 0.54 24
11 17 2.36 29.87 0.84 10
11 18 2.42 29.30 0.60 4
12 1 31.00 21.05 1.41 27
12 2 31.18 20.93 1.48 26
12 3 31.14 21.32 1.25 24
12 4 30.97 21.33 1.24 19
12 5 30.93 21.19 1.32 18
12 6 31.06 20.79 1.58 13
12 7 30.99 21.10 1.38 12
12 8 30.98 20.28 1.94 9
12 9 30.87 20.75 1.60 10
12 10 30.83 21.24 1.30 17
12 11 31.02 21.01 1.43 12
12 12 30.86 21.28 1.27 15
12 13 30.59 21.67 1.06 15
12 14 30.38 21.74 1.02 18
12 15 29.22 23.15 0.44 29
12 16 28.68 23.31 0.39 27
12 17 28.88 22.93 0.52 6
14 7 51.87 25.30 0.03 22
14 8 49.53 25.22 0.03 15
14 9 49.59 25.71 0.00 16
14 10 48.48 25.35 0.02 6
14 11 48.47 25.37 0.02 17
14 12 44.12 22.85 0.54 3
15 1 24.91 27.81 0.18 5
18 1 39.91 20.71 1.63 3
19 1 25.40 25.38 0.02 3
20 1 25.38 24.24 0.17 13
21 1 48.76 25.93 0.00 11
22 1 8.04 22.83 0.55 10
22 2 7.84 23.33 0.39 13
22 3 8.05 24.30 0.15 16
22 4 7.65 25.03 0.05 17
22 5 6.91 26.19 0.00 23
22 6 6.25 26.93 0.05 22
22 7 5.61 26.03 0.00 11
22 8 4.67 26.56 0.02 13
22 9 3.18 26.80 0.03 7
23 1 20.83 21.50 1.15 3
24 1 30.77 27.03 0.06 3
24 2 28.48 25.68 0.01 18
24 3 28.45 25.34 0.02 24
24 4 29.20 24.72 0.09 15
24 5 29.61 24.69 0.09 15
24 6 30.20 24.17 0.18 11
24 7 30.45 24.73 0.09 12
24 8 30.59 25.39 0.02 13
25 1 44.98 26.68 0.02 5
25 2 45.35 28.07 0.23 3
26 1 42.14 22.50 0.68 4
30 1 18.26 22.88 0.53 7
30 2 18.06 23.46 0.35 8
30 3 18.21 25.53 0.01 36
30 4 18.14 24.76 0.08 26
30 5 18.31 25.21 0.03 35
30 6 17.49 26.04 0.00 22
30 7 16.68 28.02 0.22 16
30 8 17.23 27.84 0.18 14
30 9 17.10 28.11 0.24 18
30 10 17.54 28.20 0.26 17
30 11 16.38 29.40 0.64 15
32 1 51.53 26.86 0.04 7
32 2 50.06 26.99 0.05 5
33 1 29.91 27.68 0.15 3
33 2 29.84 28.40 0.31 3
33 3 29.80 29.60 0.72 3
33 4 29.04 30.29 1.04 11
33 5 29.32 31.56 1.82 4
36 2 50.72 24.07 0.20 6
38 1 24.10 24.12 0.19 4
40 1 42.10 29.67 0.75 4
40 2 41.32 28.38 0.31 8
40 3 41.79 27.44 0.11 10
40 4 41.84 27.35 0.10 7
40 5 42.27 26.73 0.03 9
40 6 42.62 25.57 0.01 13
40 7 42.83 24.95 0.06 15
40 8 42.83 23.38 0.37 9
40 9 42.19 22.49 0.68 6
40 10 44.34 22.77 0.57 4
41 1 24.10 22.91 0.52 6
41 2 24.48 22.93 0.51 6
41 3 24.62 23.41 0.36 15
41 4 25.20 24.41 0.14 13
41 5 25.43 25.31 0.03 14
41 6 26.03 26.58 0.02 20
43 1 12.52 27.73 0.16 6
43 2 13.72 27.60 0.14 15
43 3 14.49 28.49 0.34 7
43 4 15.52 26.28 0.00 21
43 5 16.89 25.79 0.00 16
43 6 17.13 25.69 0.01 10
43 7 17.84 25.09 0.04 9
43 8 17.38 25.33 0.02 5
43 9 18.44 25.59 0.01 11
45 4 51.46 24.60 0.11 40
45 5 48.96 24.04 0.21 11
45 6 45.32 23.85 0.25 8
45 7 44.50 25.14 0.04 19
45 8 44.24 25.85 0.00 17
45 9 43.98 27.16 0.07 21
45 10 43.70 27.97 0.21 24
45 11 44.47 28.29 0.28 9
46 1 28.63 21.63 1.08 7
46 2 28.30 21.51 1.14 4
46 3 28.55 22.18 0.81 20
46 4 27.73 22.67 0.61 20
46 5 27.89 22.89 0.53 22
46 6 27.84 24.11 0.19 38
46 7 27.71 24.86 0.07 38
46 8 27.39 25.24 0.03 31
46 9 27.23 25.39 0.02 28
46 10 26.51 26.63 0.02 30
46 11 26.04 27.01 0.05 30
46 12 24.88 26.77 0.03 34
46 13 25.09 27.72 0.16 15
49 1 48.08 27.14 0.07 9
51 1 13.58 30.54 1.17 5
51 2 13.63 29.42 0.64 22
51 3 13.99 29.12 0.53 10
51 4 13.90 29.27 0.59 21
